setCode,cardNumber,name,cardType,archetype,rarity,level,attack,defense,attribute,monsterType,isEffect,notes
LT01,LT01-053A,Tidal Serpent,monster,Abyssal Depths,common,3,1800,1000,water,Aqua,false,
LT01,LT01-053B,Undertow Kraken,monster,Abyssal Depths,common,3,1800,1000,water,Sea Serpent,false,
LT01,LT01-053C,Oceanic Mermaid,monster,Abyssal Depths,common,3,1600,1200,water,Sea Serpent,false,
LT01,LT01-043A,Ring of Fire,trap,Infernal Dragons,uncommon,,,,,,,,
LT01,LT01-043B,Reef Rush,spell,Abyssal Depths,common,,,,,,,,
LT01,LT01-003A,Scorched Serpent,monster,Infernal Dragons,common,4,1400,1000,fire,Dragon,false,
LT01,LT01-003B,Battle Soldier,monster,Iron Legion,uncommon,4,1700,1500,earth,Machine,true,
LT01,LT01-012A,Kindled Basilisk,monster,Infernal Dragons,common,4,1500,1100,fire,Dragon,false,
LT01,LT01-012B,Tomb Mummy,monster,Necro Empire,common,3,1200,1000,dark,Zombie,false,
LT01,LT01-046A,Murky Whale,monster,Abyssal Depths,common,4,2100,1500,water,Fish,false,
LT01,LT01-046B,Sunken Leviathan,monster,Abyssal Depths,common,4,2100,1500,water,Fish,false,
LT01,LT01-047A,Coral Serpent,monster,Abyssal Depths,common,3,1300,900,water,Sea Serpent,true,
LT01,LT01-047B,Coral Triton,monster,Abyssal Depths,common,1,900,500,water,Aqua,true,
LT01,LT01-048A,Undertow Hydra,monster,Abyssal Depths,common,3,1700,1100,water,Fish,false,duplicate name vs other Undertow Hydra entries
LT01,LT01-048B,Frozen Serpent,monster,Abyssal Depths,common,4,2200,1400,water,Fish,false,
LT01,LT01-049A,Sunken Squid,monster,Abyssal Depths,common,1,800,600,water,Aqua,true,
LT01,LT01-049B,Abyssal Hydra,monster,Abyssal Depths,common,3,1800,1000,water,Fish,true,
LT01,LT01-050A,Sunken Serpent,monster,Abyssal Depths,common,3,1900,900,water,Fish,false,
LT01,LT01-050B,Abyssal Eel,monster,Abyssal Depths,common,2,1300,900,water,Sea Serpent,true,
LT01,LT01-051A,Coral Siren,monster,Abyssal Depths,common,2,1400,800,water,Fish,false,
LT01,LT01-051B,Coral Mermaid,monster,Abyssal Depths,common,4,2200,1400,water,Fish,true,
LT01,LT01-052A,Oceanic Crab,monster,Abyssal Depths,common,4,2100,1500,water,Sea Serpent,true,
LT01,LT01-052B,Tidal Eel,monster,Abyssal Depths,common,1,1300,700,water,Sea Serpent,false,
LT01,LT01-054A,Abyssal Mermaid,monster,Abyssal Depths,common,3,1700,1100,water,Fish,false,
LT01,LT01-054B,Undertow Hydra,monster,Abyssal Depths,common,4,2500,1100,water,Fish,false,duplicate name/cardNumber collisions
LT01,LT01-055A,Tidal Hydra,monster,Abyssal Depths,common,1,1300,700,water,Sea Serpent,false,
LT01,LT01-055B,Abyssal Squid,monster,Abyssal Depths,common,2,1500,700,water,Sea Serpent,false,
LT01,LT01-056A,Oceanic Serpent,monster,Abyssal Depths,common,3,1700,1100,water,Aqua,false,
LT01,LT01-056B,Riptide Shark,monster,Abyssal Depths,common,4,2400,1200,water,Fish,false,
LT01,LT01-057A,Abyssal Siren,monster,Abyssal Depths,common,1,1200,800,water,Aqua,false,
LT01,LT01-057B,Frozen Triton,monster,Abyssal Depths,common,3,1600,1200,water,Aqua,false,
LT01,LT01-058A,Glacial Shark,monster,Abyssal Depths,uncommon,5,2100,1500,water,Fish,true,cost: tribute 1
LT01,LT01-058B,Deep Shark,monster,Abyssal Depths,uncommon,3,1500,700,water,Aqua,true,
LT01,LT01-059A,Reef Serpent,monster,Abyssal Depths,uncommon,2,1000,600,water,Sea Serpent,true,
LT01,LT01-059B,Glacial Squid,monster,Abyssal Depths,uncommon,3,1200,1000,water,Aqua,true,
LT01,LT01-060A,Abyssal Serpent,monster,Abyssal Depths,uncommon,2,1000,600,water,Fish,true,
LT01,LT01-060B,Oceanic Kraken,monster,Abyssal Depths,uncommon,3,1400,800,water,Fish,true,
LT01,LT01-061A,Glacial Eel,monster,Abyssal Depths,uncommon,4,1800,1200,water,Sea Serpent,true,
LT01,LT01-061B,Tidal Shark,monster,Abyssal Depths,uncommon,4,2100,900,water,Fish,true,
LT01,LT01-062A,Murky Shark,monster,Abyssal Depths,uncommon,2,900,700,water,Aqua,true,
LT01,LT01-062B,Reef Squid,monster,Abyssal Depths,uncommon,3,1500,700,water,Aqua,true,
LT01,LT01-063A,Murky Hydra,monster,Abyssal Depths,uncommon,2,900,700,water,Aqua,true,
LT01,LT01-063B,Murky Eel,monster,Abyssal Depths,uncommon,4,1700,1300,water,Aqua,true,
LT01,LT01-064A,Oceanic Squid,monster,Abyssal Depths,uncommon,4,2000,1000,water,Aqua,true,
LT01,LT01-064B,Coral Siren,monster,Abyssal Depths,uncommon,4,1700,1300,water,Sea Serpent,true,duplicate name vs earlier Coral Siren common
LT01,LT01-065A,Abyssal Kraken,monster,Abyssal Depths,uncommon,4,2100,900,water,Fish,true,
LT01,LT01-065B,Murky Squid,monster,Abyssal Depths,uncommon,3,1400,800,water,Sea Serpent,true,
LT01,LT01-066A,Deep Siren,monster,Abyssal Depths,rare,3,1200,800,water,Aqua,true,
LT01,LT01-066B,Murky Shark,monster,Abyssal Depths,rare,7,2800,1600,water,Sea Serpent,true,cost: tribute 2; duplicate name vs Murky Shark uncommon
LT01,LT01-067A,Oceanic Leviathan,monster,Abyssal Depths,rare,5,2200,1200,water,Sea Serpent,true,cost: tribute 1
LT01,LT01-067B,Abyssal Mermaid,monster,Abyssal Depths,rare,7,2900,1500,water,Aqua,true,cost: tribute 2; duplicate name vs Abyssal Mermaid common
LT01,LT01-068A,Tidal Kraken,monster,Abyssal Depths,rare,6,2500,1500,water,Aqua,true,cost: tribute 1
LT01,LT01-068B,Riptide Mermaid,monster,Abyssal Depths,rare,6,2600,1400,water,Fish,true,cost: tribute 1
LT01,LT01-069A,Sunken Whale,monster,Abyssal Depths,rare,7,3000,1400,water,Aqua,true,cost: tribute 2
LT01,LT01-069B,Glacial Serpent,monster,Abyssal Depths,rare,7,2900,1500,water,Sea Serpent,true,cost: tribute 2
LT01,LT01-070A,Deep Hydra,monster,Abyssal Depths,rare,7,2500,1900,water,Sea Serpent,true,cost: tribute 2
LT01,LT01-070B,Murky Leviathan,monster,Abyssal Depths,rare,7,2700,1700,water,Sea Serpent,true,cost: tribute 2
LT01,LT01-071A,Riptide Shark,monster,Abyssal Depths,epic,7,2300,1900,water,Aqua,true,cost: tribute 2
LT01,LT01-071B,Deep Lord,monster,Abyssal Depths,epic,8,3400,1600,water,Fish,true,cost: tribute 2
LT01,LT01-072A,Reef Master,monster,Abyssal Depths,epic,7,2600,1600,water,Aqua,true,cost: tribute 2
LT01,LT01-072B,Coral Serpent,monster,Abyssal Depths,epic,7,2500,1700,water,Sea Serpent,true,cost: tribute 2; duplicate name vs Coral Serpent common
LT01,LT01-073A,Coral Kraken,monster,Abyssal Depths,epic,5,2000,1200,water,Fish,true,cost: tribute 1
LT01,LT01-073B,Reef Monarch,monster,Abyssal Depths,epic,7,2500,1700,water,Aqua,true,cost: tribute 2
LT01,LT01-074A,Tidal Emperor Nereus,monster,Abyssal Depths,legendary,8,3200,1400,water,Aqua,true,cost: tribute 2; limited
LT01,LT01-074B,Tidal Emperor Nereus,monster,Abyssal Depths,legendary,8,3200,1400,water,Aqua,true,cost: tribute 2; limited; duplicate legendary entry earlier
LT01,LT01-075A,Leviathan of the Abyss,monster,Abyssal Depths,legendary,10,3500,2300,water,Sea Serpent,true,cost: tribute 3; limited
LT01,LT01-075B,Leviathan of the Abyss,monster,Abyssal Depths,legendary,8,3000,1600,water,Fish,true,cost: tribute 2; limited; duplicate name vs level 10 legendary + prismatic
LT01,LT01-076A,Reef Strike,spell,Abyssal Depths,common,,,,,,,,,
LT01,LT01-076B,Oceanic Strike,spell,Abyssal Depths,common,,,,,,,,,source text says destroy 0 cards (likely placeholder)
LT01,LT01-077A,Sunken Force,spell,Abyssal Depths,common,,,,,,,,,source text says destroy 0 cards (likely placeholder)
LT01,LT01-077B,Reef Strike,spell,Abyssal Depths,common,,,,,,,,,duplicate name vs earlier Reef Strike common
LT01,LT01-078A,Tidal Surge,spell,Abyssal Depths,uncommon,,,,,,,,,
LT01,LT01-078B,Riptide Force,spell,Abyssal Depths,uncommon,,,,,,,,,
LT01,LT01-079A,Undertow Surge,spell,Abyssal Depths,uncommon,,,,,,,,,
LT01,LT01-079B,Oceanic Force,spell,Abyssal Depths,uncommon,,,,,,,,,
LT01,LT01-080A,Undertow Quick,spell,Abyssal Depths,uncommon,,,,,,,,,quick spell: +600 atk this turn
LT01,LT01-080B,Tidal Rush,spell,Abyssal Depths,uncommon,,,,,,,,,duplicate cardNumber vs Undertow Quick above
LT01,LT01-080C,Tidal Swift,spell,Abyssal Depths,uncommon,,,,,,,,,duplicate cardNumber vs multiple spell entries
LT01,LT01-081A,Sunken Swift,spell,Abyssal Depths,uncommon,,,,,,,,,
LT01,LT01-081B,Glacial Dash,spell,Abyssal Depths,uncommon,,,,,,,,,
LT01,LT01-082A,Frozen Instant,spell,Abyssal Depths,uncommon,,,,,,,,,
LT01,LT01-082B,Frozen Quick,spell,Abyssal Depths,uncommon,,,,,,,,,
LT01,LT01-083A,Glacial Blessing,spell,Abyssal Depths,rare,,,,,,,,,duplicate name vs earlier Glacial Blessing
LT01,LT01-083B,Coral Curse,spell,Abyssal Depths,rare,,,,,,,,,
LT01,LT01-084A,Glacial Blessing,spell,Abyssal Depths,rare,,,,,,,,,continuous: draw 1 on battle damage
LT01,LT01-084B,Murky Curse,spell,Abyssal Depths,rare,,,,,,,,,duplicate cardNumber vs earlier Glacial Blessing
LT01,LT01-084C,Riptide Curse,spell,Abyssal Depths,rare,,,,,,,,,
LT01,LT01-085A,Reef Fortress,field,Abyssal Depths,rare,,,,,,,,,
LT01,LT01-085B,Glacial Domain,field,Abyssal Depths,rare,,,,,,,,,
LT01,LT01-086A,Murky Surprise,trap,Abyssal Depths,common,,,,,,,,,
LT01,LT01-086B,Undertow Trap,trap,Abyssal Depths,common,,,,,,,,,
LT01,LT01-087A,Tidal Snare,trap,Abyssal Depths,common,,,,,,,,,
LT01,LT01-087B,Undertow Ambush,trap,Abyssal Depths,common,,,,,,,,,
LT01,LT01-088A,Tidal Shield,trap,Abyssal Depths,epic,,,,,,,,,
LT01,LT01-088B,Murky Denial,trap,Abyssal Depths,epic,,,,,,,,,
LT01,LT01-089A,Abyssal Domain,trap,Abyssal Depths,uncommon,,,,,,,,,
LT01,LT01-089B,Sunken Zone,trap,Abyssal Depths,uncommon,,,,,,,,,
LT01,LT01-090A,Glacial Zone,trap,Abyssal Depths,uncommon,,,,,,,,,continuous trap: cannot be targeted by spell effects
LT01,LT01-090B,Murky Presence,trap,Abyssal Depths,uncommon,,,,,,,,,
